
agency_cd	site_no	station_nm	site_tp_cd	lat_va	long_va	dec_lat_va	dec_long_va	coord_meth_cd	coord_acy_cd	coord_datum_cd	dec_coord_datum_cd	district_cd	state_cd
5s	15s	50s	7s	11s	12s	16n	16n	1s	1s	10s	10s	3s	2s
USGS	02339210	WEHADKEE CREEK NEAR PITTMAN AL	ST	331330	0851912	33.22511878	-85.31994730	M	U	NAD27	NAD83	01	01
USGS	02339215	WEHADKEE CREEK NEAR ROCK MILLS AL	ST	330850	0851655	33.14734284	-85.28189020	M	U	NAD27	NAD83	01	01
USGS	02339225	WEHADKEE CREEK BELOW ROCK MILLS, ALA.	ST	330720	0851457	33.12234350	-85.24911130	M	U	NAD27	NAD83	01	01
USGS	02339360	VEASEY CR AB LANETT, AL	LK	325950	0851337	32.99734628	-85.22688790	M	S	NAD27	NAD83	13	01
USGS	02339430	KELLEM HILL CREEK AT LAFAYETTE, ALA	ST	325254	0852328	32.88179348	-85.39105889	M	U	NAD27	NAD83	01	01
USGS	02339455	ALLEN CREEK NR LAFAYETTE, ALA	ST	325439	0852158	32.91095940	-85.36605829	M	U	NAD27	NAD83	01	01
USGS	02339480	OSELIGEE CREEK AT COUNTY RD 92 NEAR FREDONIA, AL	ST	325523	0851758	32.92305556	-85.29944440	M	S	NAD83	NAD83	01	01
USGS	02339493	OSONIPPO CREEK BELOW FAIRFAX, ALA	ST	324558	0851002	32.76624220	-85.16716230	M	U	NAD27	NAD83	01	01
USGS	02339495	OSELIGEE CREEK NEAR LANETT AL	ST	325405	0851147	32.90151590	-85.19633080	M	S	NAD27	NAD83	01	01
USGS	02339550	CHATTAHOOCHEE R (LANETT INTAKE) AT LANETT, AL	ST	325148	0851104	32.86346154	-85.18438570	M	S	NAD27	NAD83	13	01
USGS	02339780	CHATTAHOOCHEE RIVER AT LANGDALE, AL	ST	324850	0851003	32.81401860	-85.16744040	M	S	NAD27	NAD83	13	01
USGS	02340750	OSANIPPA CREEK NEAR FAIRFAX AL	ST	324720	0851130	32.78901920	-85.19160770	M	U	NAD27	NAD83	01	01
USGS	02340770	OSANIPPA CREEK NEAR BLANTON, AL.	ST	324356	0850829	32.73235450	-85.14132790	M	U	NAD27	NAD83	01	01
USGS	02340900	HALAWAKEE CREEK NEAR OPELIKA AL	ST	324149	0851601	32.69707720	-85.26688740	M	U	NAD27	NAD83	01	01
USGS	02341030	WACOOCHEE CREEK (NEAR PHENIX CITY)AT VALLEY AL	ST	323720	0850800	32.62235836	-85.13327130	M	U	NAD27	NAD83	01	01
USGS	02341480	MILL CREEK NEAR PHENIX CITY AL	ST	322932	0850158	32.49236396	-85.03271110	M	U	NAD27	NAD83	01	01
USGS	02342115	UCHEE CREEK NEAR HUGLEY, AL.	ST	322310	0851408	32.38625470	-85.23549550	M	U	NAD27	NAD83	01	01
USGS	02342125	UCHEE CREEK NR CRAWFORD, ALA	ST	322242	0851054	32.37847770	-85.18160450	M	U	NAD27	NAD83	01	01
USGS	02342150	UCHEE CREEK NEAR SEALE AL	ST	322116	0850544	32.35459047	-85.09549000	M	U	NAD27	NAD83	01	01
USGS	02342180	UCHEE CREEK NEAR SEALE, AL.	ST	322104	0850420	32.35125745	-85.07215570	M	U	NAD27	NAD83	01	01
USGS	02342200	PHELPS CREEK NEAR OPELIKA AL	ST	323349	0851636	32.56374800	-85.27660930	M	U	NAD27	NAD83	01	01
USGS	02342280	LITTLE UCHEE CREEK NEAR BLEECKER, AL	ST	322945	0851015	32.49597340	-85.17077190	M	U	NAD27	NAD83	01	01
USGS	02342360	LITTLE UCHEE CREEK NEAR CRAWFORD AL	ST	322742	0850751	32.46180845	-85.13077000	M	U	NAD27	NAD83	01	01
USGS	02342400	LITTLE UCHEE CREEK NEAR SEALE, AL.	ST	322240	0850450	32.37792309	-85.08048960	M	U	NAD27	NAD83	01	01
USGS	02342500	UCHEE CREEK NEAR FORT MITCHELL, AL.	ST	321900	0850054	32.31681467	-85.01493100	M	S	NAD27	NAD83	01	01
USGS	02342540	UCHEE CREEK AT FT BENNING, ALA	ST	321743	0845838	32.29542670	-84.97715200	M	U	NAD27	NAD83	01	01
USGS	02342870	HIGH LOG CREEK (SITE A) NR HATCHECHUBBEE, AL	ST	321621	0851758	32.27264757	-85.29938520	N	S	NAD27	NAD83	01	01
USGS	02342871	HIGH LOG CREEK (SITE B) NR HATCHECHUBBEE, ALA	ST	321620	0851758	32.27236980	-85.29938520	N	S	NAD27	NAD83	01	01
USGS	02342890	HATCHECHUBBEE CR AT COUNTY ROAD NR PITTSVIEW, ALA	ST	321055	0851001	32.18209610	-85.16687970	M	U	NAD27	NAD83	01	01
USGS	02342892	HATCHECHUBBEE CREEK AT US 431 NR PITTSVIEW, AL	ST	321057	0851003	32.18265164	-85.16743520	M	U	NAD27	NAD83	01	01
USGS	02342897	WATERMELON CREEK NEAR PITTSVIEW AL	ST	321436	0850958	32.24348290	-85.16604700	M	U	NAD27	NAD83	01	01
USGS	02342899	WATERMELON CREEK AT PITTSVIEW AL	ST	321137	0850847	32.19376246	-85.14632350	M	U	NAD27	NAD83	01	01
USGS	02342902	HATCHECHUBBEE CREEK AT COTTONTON, ALA	ST	320824	0850422	32.14015329	-85.07270930	M	U	NAD27	NAD83	01	01
USGS	02342910	NORTH FORK COWIKEE CREEK NEAR HURTSBORO AL	ST	321131	0851825	32.19209500	-85.30688430	M	U	NAD27	NAD83	01	01
USGS	02342912	HURTSBORO CREEK AT HURTSBORO, ALA	ST	321412	0852455	32.23681478	-85.41522140	M	U	NAD27	NAD83	01	01
USGS	02342913	HURTSBORO CREEK BELOW HURTSBORO, ALA	ST	321220	0852246	32.20570509	-85.37938660	M	U	NAD27	NAD83	01	01
USGS	02342915	HURTSBORO CREEK NEAR HURTSBORO AL	ST	321052	0851937	32.18126194	-85.32688480	M	U	NAD27	NAD83	01	01
USGS	02342920	NORTH FORK COWIKEE CREEK NEAR GLENVILLE AL	ST	320524	0851234	32.09015480	-85.20937990	M	U	NAD27	NAD83	01	01
USGS	02342925	MIDDLE FORK COWIKEE CREEK NEAR HURTSBORO AL	ST	321016	0852241	32.17126195	-85.37799720	M	U	NAD27	NAD83	01	01
USGS	02342928	MIDDLE FORK COWIKEE C NR HAWKINSVILLE, AL.	ST	320325	0851344	32.05710047	-85.22882450	M	U	NAD27	NAD83	01	01
USGS	02342930	BRONSON C NR CLAYTON, ALA	ST	315811	0852626	31.96987999	-85.44049650	M	U	NAD27	NAD83	01	01
USGS	02342933	SOUTH FORK COWIKEE CREEK NEAR BATESVILLE AL	ST	320103	0851745	32.01765720	-85.29577040	M	S	NAD27	NAD83	01	01
USGS	02342935	UNNAMED TRIB TO SO FORK COWIKEE CR NR BATESVILLE	ST	320217	0851637	32.03821210	-85.27688130	M	U	NAD27	NAD83	01	01
USGS	02342940	COWIKEE CREEK NEAR EUFAULA AL	ST	315855	0850654	31.98210260	-85.11493140	M	U	NAD27	NAD83	01	01
USGS	02342965	CHEWALLA CREEK NEAR EUFAULA AL	ST	315617	0851044	31.93821505	-85.17882200	M	U	NAD27	NAD83	01	01
USGS	02342969	CHEWALLA C AT EUFAULA, ALA	ST	315425	0850857	31.90710460	-85.14909880	M	U	NAD27	NAD83	01	01
USGS	0234296910	CHATTAHOOCHEE RIVER AT COAST GUARD DOCK AT EUFAULA	LK	315429	0850842	31.90821568	-85.14493200	M	U	NAD27	NAD83	01	01
USGS	0234296950	CHATTAHOOCHEE R AT EUFALUA, ALA	ST	315329	0850802	31.89154940	-85.13382050	M	U	NAD27	NAD83	01	01
USGS	02342980	BARBOUR C NR WHITE OAK, ALA	ST	315355	0852026	31.89877150	-85.34049320	M	U	NAD27	NAD83	01	01
USGS	02342985	LEAK C NR WHITE OAK, ALA	ST	315550	0852036	31.93071503	-85.34327120	M	U	NAD27	NAD83	01	01
USGS	02342987	UNNAMED TRIB TO LEAK C NR WHITE OAK, ALA	ST	315550	0851840	31.93071519	-85.31104810	M	U	NAD27	NAD83	01	01
USGS	02342990	DOWDY C NR LUGO, ALA	ST	315600	0851604	31.93349310	-85.26771360	M	U	NAD27	NAD83	01	01
USGS	02342995	BARBOUR CREEK NEAR OSCO, AL.	ST	315344	0851401	31.89571630	-85.23354580	M	U	NAD27	NAD83	01	01
USGS	02343000	BARBOUR CREEK NEAR EUFAULA AL	ST	315147	0850940	31.86321687	-85.16104350	M	U	NAD27	NAD83	01	01
USGS	02343040	CHENEYHATCHEE CREEK NEAR EUFAULA AL	ST	315025	0851311	31.84043987	-85.21965630	M	U	NAD27	NAD83	01	01
USGS	02343050	WHITE OAK C NR BAKERHILL, ALA	ST	314611	0851322	31.76988610	-85.22271170	M	U	NAD27	NAD83	01	01
USGS	023432415	CHATTAHOOCHEE R .36 MI DS WFG DAM NR FT GAINES, GA	ST	313717	0850336	31.62138889	-85.06000000	G	S	NAD83	NAD83	13	01
USGS	02343275	ABBIE CREEK NEAR ABBEVILLE AL	ST	313342	0851218	31.56183550	-85.20493240	M	U	NAD27	NAD83	01	01
USGS	02343276	VAN MILL CREEK AT ABBIEVILLE, ALA	ST	313408	0851352	31.56905749	-85.23104429	M	U	NAD27	NAD83	01	01
USGS	02343277	ABBIE CREEK BELOW ABBIEVILLE, ALA	ST	313159	0851240	31.53322508	-85.21104360	M	U	NAD27	NAD83	01	01
USGS	02343278	SKIPPERS CREEK AT ABBIEVILLE, ALA	ST	313320	0851553	31.55572430	-85.26465609	M	U	NAD27	NAD83	01	01
USGS	02343280	ABBIE CREEK NR TUMBLETON, ALA	ST	312842	0851416	31.47850400	-85.23771070	M	U	NAD27	NAD83	01	01
USGS	02343292	SANDY CREEK NEAR NEWVILLE AL	ST	312613	0851536	31.43711596	-85.25993320	M	U	NAD27	NAD83	01	01
USGS	02343298	ABBIE CREEK NR BROWNS CROSSROADS, ALA	ST	312722	0851235	31.45628250	-85.20965440	M	U	NAD27	NAD83	01	01
USGS	02343300	ABBIE CREEK NEAR HALEBURG AL	ST	312824	0850945	31.47350458	-85.16243100	M	U	NAD27	NAD83	01	01
USGS	02343370	ABBIE CREEK BELOW HALEBURG, ALA	ST	312440	0850553	31.41128437	-85.09798500	M	U	NAD27	NAD83	01	01
USGS	02343400	FOSTER CREEK AT STATE HIGHWAY 95 NEAR HALEBURG, AL	ST	312138	0850640	31.36073004	-85.11104090	M	U	NAD27	NAD83	01	01
USGS	02343500	CHATTAHOOCHEE R AT COLUMBIA, AL	ST	311701	0850558	31.28378770	-85.09937400	M	S	NAD27	NAD83	13	01
USGS	02343590	OMUSSEE CREEK NR DOTHAN, ALA	ST	311629	0852146	31.27489670	-85.36271110	M	U	NAD27	NAD83	01	01
USGS	02343595	POPLAR SPRING BRANCH AT JUDSON ST IN DOTHAN AL	ST	311252	0852220	31.21462058	-85.37215540	M	U	NAD27	NAD83	01	01
USGS	02343600	OMUSSEE CREEK NR KINSEY, ALA	ST	311727	0851748	31.29100800	-85.29659950	M	U	NAD27	NAD83	01	01
USGS	02343700	STEVENSON CREEK NEAR HEADLAND AL	ST	312118	0851105	31.35517405	-85.18465360	M	U	NAD27	NAD83	01	01
USGS	02343710	OMUSEE CREEK NEAR HALEBURG	ST	312031	0851038	31.34211888	-85.17715340	M	U	NAD27	NAD83	01	01
USGS	02343750	OMUSEE CREEK AT COLUMBIA AL	ST	311700	0850700	31.28350978	-85.11659660	M	U	NAD27	NAD83	01	01
USGS	02343802	CHATTAHOOCHEE RIVER BELOW ANDREWS L&D	ST	311529	0850637	31.25823270	-85.11020760	M	U	NAD27	NAD83	01	01
USGS	02343830	CHATTAHOOCHEE RIVER @ FARLEY NUCLEAR PL (WITHDRAW)	ST	311320	0850630	31.22240045	-85.10826320	M	U	NAD27	NAD83	01	01
USGS	02343831	CHATTAHOOCHEE RI AT FARLEY NUCLEAR PLANT (RELEASE)	ST	311319	0850630	31.22212268	-85.10826320	M	U	NAD27	NAD83	01	01
USGS	02343848	CEDAR CREEK AT EAST COOK ROAD NR PANSEY, AL.	ST	311107	0850900	31.18545678	-85.14993060	M	S	NAD27	NAD83	01	01
USGS	02343850	CEDAR CREEK AT ST HWY 95 NEAR CALUMET, ALA	ST	311122	0850708	31.18962357	-85.11881900	M	S	NAD27	NAD83	01	01
USGS	02344000	CHATTAHOOCHEE RIVER AT ALAGA, ALA	ST	310654	0850243	31.11518186	-85.04520680	M	U	NAD27	NAD83	13	01
USGS	02344025	BRYANS CREEK AT STATE HWY 95 NEAR CROSBY, ALA	ST	310410	0850242	31.06962760	-85.04492920	M	S	NAD27	NAD83	01	01
USGS	02347425	YELLOW RIVER AT BABBIE, ALA	ST	311625	0862055	31.27378106	-86.34856450	M	U	NAD27	NAD83	01	01
USGS	02358755	LIMESTONE CREEK ON STATE HWY 109 BELOW DOTHAN, A	ST	310556	0852514	31.09906820	-85.42048880	M	U	NAD27	NAD83	01	01
USGS	02358765	BIG CREEK AT STATE HIGHWAY 203 NEAR REHOBETH, AL	ST	310449	0852553	31.08045758	-85.43132220	M	S	NAD27	NAD83	01	01
USGS	02358770	BIG CREEK NEAR MADRID AL	ST	310114	0852101	31.02073814	-85.35021060	M	U	NAD27	NAD83	01	01
USGS	02358775	BUCK CREEK AT COTTONWOOD, ALA	ST	310256	0851851	31.04907095	-85.31409930	M	U	NAD27	NAD83	01	01
USGS	0235878055	COWARTS CREEK NEAR LOVE HILL, ALABAMA	ST	310720	0851732	31.12240210	-85.29215480	M	1	NAD27	NAD83	01	01
USGS	0235878075	COWARTS CREEK ABOVE COTTONWOOD, AL.	ST	310619	0851517	31.10545860	-85.25465459	M	U	NAD27	NAD83	01	01
USGS	02358785	COWARTS CREEK AT SR 53 NR COTTONWOOD, AL.	ST	310100	0851321	31.01685060	-85.22243200	M	U	NAD27	NAD83	01	01
USGS	02359970	UNNAMED TRIB TO LINDSEY C BELOW CLAYTON, ALA	ST	314920	0852634	31.82238460	-85.44271760	M	U	NAD27	NAD83	01	01
USGS	02359972	UNNAMED TRIB TO LINDSEY CR NR CLAYTON, AL	ST	314913	0852647	31.82044023	-85.44632880	M	U	NAD27	NAD83	01	01
USGS	02359975	LINDSEY CREEK NEAR CLAYTON AL	ST	314720	0852612	31.78905234	-85.43660610	M	U	NAD27	NAD83	01	01
USGS	02359980	LINDSEY C NR LINDSEY, ALA	ST	314508	0852656	31.75238680	-85.44882830	M	U	NAD27	NAD83	01	01
USGS	02360000	WEST FORK CHOCTAWHATCHEE R AT BLUE SPRINGS AL	ST	313949	0853018	31.66377696	-85.50493960	M	U	NAD27	NAD83	01	01
USGS	02360002	BLUE SPRING AT BLUE SPRINGS, ALA	ST	313941	0853026	31.66155475	-85.50716180	M	U	NAD27	NAD83	01	01
USGS	02360275	JUDY CREEK NEAR OZARK AL	ST	312747	0853420	31.46322430	-85.57215950	M	U	NAD27	NAD83	01	01
USGS	02360280	JUDY CREEK EAST OF OZARK AL	ST	312639	0853356	31.44433588	-85.56549250	M	S	NAD27	NAD83	01	01
USGS	02360290	WEST FORK OF CHOCTAWHATCHEE RIVER NR OZARK, ALA	ST	312440	0853207	31.41128117	-85.53521410	M	U	NAD27	NAD83	01	01
USGS	02360300	EAST FORK CHOCTAWHATCHEE RIVER NEAR EDWIN AL	ST	314038	0852045	31.67738818	-85.34576970	M	U	NAD27	NAD83	01	01
USGS	02360400	EAST FORK CHOCTAWHATCHEE RIVER NR CAPPS, ALA	ST	312939	0852206	31.49433594	-85.36826850	M	U	NAD27	NAD83	01	01
USGS	02360495	BLACKWOOD CREEK NR HEADLAND, ALA	ST	312251	0852351	31.38100504	-85.39743460	M	U	NAD27	NAD83	01	01
USGS	02360500	EAST FORK CHOCTAWHATCHEE R NEAR MIDLAND CITY AL	ST	312223	0852838	31.37322677	-85.47715769	M	U	NAD27	NAD83	01	01
USGS	02361000	CHOCTAWHATCHEE RIVER NEAR NEWTON, AL.	ST	312034	0853638	31.34294920	-85.61049120	M	U	NAD27	NAD83	01	01
USGS	02361020	HURRICANE CREEK NR OZARK, ALA	ST	312456	0853812	31.41572526	-85.63660350	M	U	NAD27	NAD83	01	01
USGS	02361023	HURRICANE CREEK ABOVE NEWTON, ALA	ST	312147	0853657	31.36322650	-85.61576930	M	U	NAD27	NAD83	01	01
USGS	02361025	HURRICANE CREEK NR NEWTON, ALA	ST	312052	0853651	31.34794910	-85.61410230	M	U	NAD27	NAD83	01	01
USGS	02361030	FAKE SITE FOR FORT RUCKER BLANKS, DUP, ETC SAMPLES	ST	312059	0853920	31.34989340	-85.65549140	M	U	NAD27	NAD83	01	01
USGS	02361036	TR TO BROOKINGS MILL TR (FT RUCKER HANCHEY REFUEL)	ST	312056	0853918	31.34906009	-85.65493580	M	U	NAD27	NAD83	01	01
USGS	02361038	TR TO BROOKINGS MILL TR (FORT RUCKER LANDFILL)	ST	311952	0854036	31.33128266	-85.67660220	M	U	NAD27	NAD83	01	01
USGS	02361044	TR TO BROOKINGS ML CR TR AT FORT RUCKER (MOTORPOOL	ST	311959	0854223	31.33322698	-85.70632450	M	U	NAD27	NAD83	01	01
USGS	02361045	TR TO BROOKINGS ML CR TR NR DALEVILLE (RECYCLING)	ST	311941	0854228	31.32822709	-85.70771330	M	U	NAD27	NAD83	01	01
USGS	02361046	TR TO BROOKINGS ML CR TR NR DALEVILLE (O-STORAGE)	ST	311930	0854149	31.32517164	-85.69687990	M	U	NAD27	NAD83	01	01
USGS	02361048	UN TRIB TO CHOCTAHA RIV AT FORT RUCKER (PAINT SHED	ST	311916	0854207	31.32128280	-85.70187980	M	U	NAD27	NAD83	01	01
USGS	02361071	LITTLE CHOCTAWHATCHEE RIVER ABOVE DOTHAN, ALA	ST	311548	0852624	31.26350743	-85.43993390	M	U	NAD27	NAD83	01	01
USGS	02361074	MURPHY MILL BRANCH NR DOTHAN, ALA	ST	311644	0852738	31.27906245	-85.46048980	M	U	NAD27	NAD83	01	01
USGS	02361075	  D   5 KELLY SPRING NEAR DOTHAN	SP	311634	0852743	31.27628470	-85.46187860	M	U	NAD27	NAD83	01	01
USGS	02361093	TRIB BEAVER C AT ROSS CLARK CIRCLE IN DOTHAN AL	ST	311208	0852507	31.20239830	-85.41854460	M	U	NAD27	NAD83	01	01
USGS	02361100	BEAVER CREEK NEAR DOTHAN AL	ST	311417	0853007	31.23822980	-85.50187860	M	U	NAD27	NAD83	01	01
USGS	02361105	BEAVER CREEK NR DOTHAN, ALA	ST	311253	0852607	31.21489778	-85.43521140	M	U	NAD27	NAD83	01	01
USGS	02361130	LITTLE CHOCTAWHATCHEE RIVER NR PICKARD, ALA	ST	311508	0853147	31.25239599	-85.52965640	M	U	NAD27	NAD83	01	01
USGS	02361150	LITTLE CHOCTAWHATCHEE RIVER NEAR DOTHAN AL	ST	311627	0853711	31.27433968	-85.61965670	M	U	NAD27	NAD83	01	01
USGS	02361175	LITTLE CHOCTAWHATCHEE RIVER NEAR WICKSBURG AL	ST	311410	0853711	31.23628509	-85.61965629	M	U	NAD27	NAD83	01	01
USGS	02361236	PINE LOG CREEK NR SLOCOMB, ALA	ST	310529	0853534	31.09156725	-85.59271130	M	U	NAD27	NAD83	01	01
USGS	02361238	PINE LOG CREEK BELOW SLOCOMB, ALA	ST	310455	0853637	31.08212300	-85.61021120	M	U	NAD27	NAD83	01	01
USGS	02361250	HURRICANE CREEK NEAR HARTFORD AL	ST	310623	0853711	31.10656670	-85.61965570	M	U	NAD27	NAD83	01	01
USGS	02361253	DOWLING BRANCH NR HARTFORD, ALA	ST	310742	0854147	31.12851020	-85.69632240	M	U	NAD27	NAD83	01	01
USGS	02361255	HURRICANE CREEK NR BELLWOOD, ALA	ST	311018	0854156	31.17184228	-85.69882260	M	U	NAD27	NAD83	01	01
USGS	02361350	BEAR CREEK NEAR OZARK AL	ST	312641	0854212	31.44489110	-85.70327100	M	U	NAD27	NAD83	01	01
USGS	02361365	UNNAMED TRIB. TO HARRAND CREEK AT ENTERPRISE, AL	ST	311938	0855019	31.32739285	-85.83854920	M	U	NAD27	NAD83	01	01
USGS	02361368	TR TO HARRAND CR AT FORT RUCKER (AIRCR MAIN @ LOWE	ST	312108	0854511	31.35239307	-85.75299170	M	U	NAD27	NAD83	01	01
USGS	02361370	HARRAND CREEK AT FORT RUCKER, AL.	ST	312017	0854455	31.33822676	-85.74854690	M	U	NAD27	NAD83	01	01
USGS	02361373	COWPEN CREEK NEAR LEVEL PLAINS, AL.	ST	311902	0854706	31.31739358	-85.78493640	M	U	NAD27	NAD83	01	01
USGS	02361375	CLAYBANK CREEK NEAR DALEVILLE AL	ST	311829	0854436	31.30822746	-85.74326850	M	U	NAD27	NAD83	01	01
USGS	02361400	CLAYBANK CREEK AT CLAYHATCHEE AL	ST	311404	0854418	31.23461810	-85.73826730	M	U	NAD27	NAD83	01	01
USGS	02361500	CHOCTAWHATCHEE RIVER NEAR BELLWOOD AL	ST	310933	0854704	31.15934229	-85.78437890	M	S	NAD27	NAD83	01	01
USGS	02362000	CHOCTAWHATCHEE RIVER NEAR GENEVA, ALABAMA	ST	310228	0855108	31.04129020	-85.85215740	M	S	NAD27	NAD83	01	01
USGS	02362175	BLANKET CREEK NR ENTERPRISE, ALA	ST	311733	0855335	31.29267099	-85.89299450	M	U	NAD27	NAD83	01	01
USGS	02362200	DOUBLE BRIDGES CREEK NEAR ENTERPRISE AL	ST	311659	0855456	31.28322660	-85.91549490	M	U	NAD27	NAD83	01	01
USGS	02362240	LITTLE DOUBLE BRIDGES CREEK NR ENTERPRISE, AL.	ST	311620	0855730	31.27239318	-85.95827370	M	U	NAD27	NAD83	01	01
USGS	02362245	LITTLE DOUBLE BRIDGES CR NR BATTENS CROSSROADS,	ST	311517	0855707	31.25489369	-85.95188430	M	U	NAD27	NAD83	01	01
USGS	02362340	DOUBLE BRIDGES CREEK NEAR ENTERPRISE, AL.	ST	311248	0855728	31.21350619	-85.95771730	M	U	NAD27	NAD83	01	01
USGS	02362500	DOUBLE BRIDGES CREEK AT GENEVA AL	ST	310233	0855141	31.04267904	-85.86132430	M	U	NAD27	NAD83	01	01
USGS	02362525	COFFEE SPRING AT COFFEE SPRINGS AL         J   1	SP	311006	0855420	31.16850807	-85.90549320	M	U	NAD27	NAD83	01	01
USGS	02362590	JOHNSON CREEK NEAR MIDWAY AL	ST	320406	0853220	32.06848680	-85.53883360	M	U	NAD27	NAD83	01	01
USGS	02362610	PEA RIVER NEAR MIDWAY, AL.	ST	320300	0853421	32.05015387	-85.57244520	M	U	NAD27	NAD83	01	01
USGS	02362638	INDIAN CREEK AT PICKETT AL	ST	315847	0853727	31.97987809	-85.62411200	M	U	NAD27	NAD83	01	01
USGS	02362640	PEA RIVER NEAR PEROTE AL	ST	315643	0853714	31.94543480	-85.62050040	M	U	NAD27	NAD83	01	01
USGS	02362700	PEA CREEK NEAR CLAYTON AL	ST	315332	0852753	31.89238234	-85.46466320	M	U	NAD27	NAD83	01	01
USGS	02362740	PEA C ABOVE LOUISVILLE, ALA	ST	314908	0853408	31.81905059	-85.56883130	M	U	NAD27	NAD83	01	01
USGS	02362745	HURRICANE CREEK NEAR CLAYTON AL	ST	315421	0853507	31.90599200	-85.58522150	M	U	NAD27	NAD83	01	01
USGS	02362750	PEA CREEK NEAR LOUISVILLE AL	ST	314747	0853910	31.79655043	-85.65272140	M	U	NAD27	NAD83	01	01
USGS	02362775	BUCKHORN CREEK NEAR JOSIE AL	ST	314908	0854457	31.81904868	-85.74911220	M	U	NAD27	NAD83	01	01
USGS	02362780	BUCKHORN CREEK NR SHILOH, ALA	ST	314638	0854307	31.77738367	-85.71855550	M	U	NAD27	NAD83	01	01
USGS	02362790	PEA RIVER NEAR BRUNDIDGE AL	ST	314250	0854226	31.71405208	-85.70716530	M	U	NAD27	NAD83	01	01
USGS	02362795	UNNAMED TRIB TO BIG C BELOW CLIO, ALA	ST	314333	0873759	31.72598870	-87.63305150	M	U	NAD27	NAD83	01	01
USGS	02362800	THOMPSON CREEK (BRANCH CREEK) NEAR CLIO AL	ST	314234	0853939	31.70960817	-85.66077570	M	U	NAD27	NAD83	01	01
